Outcome,Variant,Sex,Model,Predictors,N train,N test,Prevalence test,AUC,CV AUC mean,CV AUC sd,CV F1 macro,Train AUC,Threshold,Brier,Calibration slope,Calibration intercept,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,F1 macro,Kappa,TP,FP,TN,FN,Accuracy at threshold,Sensitivity at threshold,Specificity at threshold,PPV at threshold,NPV at threshold,F1 at threshold,F1 macro at threshold,Kappa at threshold,TP at threshold,FP at threshold,TN at threshold,FN at threshold,AUC CI low,AUC CI high,Sensitivity CI low,Sensitivity CI high,Specificity CI low,Specificity CI high,Brier CI low,Brier CI high,Fit time (s)
Combined,PostIndex,Women,Penalised logistic regression,574,4632,1158,0.4542,0.8003,0.803,0.0191,0.7389,0.8093,0.3973,0.1771,1.2146,-0.0075,0.7314,0.5798,0.8576,0.7722,0.7104,0.6623,0.7197,0.4468,305,90,542,221,0.7288,0.6844,0.7658,0.7087,0.7446,0.6963,0.7257,0.4515,360,148,484,166,0.7748,0.8259,0.6479,0.7233,0.7352,0.7991,0.1664,0.1874,1148.2
Combined,PostIndex,Women,Random forest,574,4632,1158,0.4542,0.7692,0.771,0.0082,0.7138,1.0,0.507,0.1965,1.4283,0.0287,0.7124,0.5932,0.8117,0.7239,0.7056,0.652,0.7035,0.4111,312,119,513,214,0.7107,0.5875,0.8133,0.7237,0.7031,0.6485,0.7013,0.4072,309,118,514,217,0.7429,0.7955,0.5447,0.6296,0.7832,0.8417,0.1875,0.2045,117.4
Combined,PostIndex,Women,Neural network,574,4632,1158,0.4542,0.7489,0.7485,0.0161,0.6923,0.8557,0.5595,0.2064,0.6155,0.0833,0.6934,0.5894,0.7801,0.6904,0.6953,0.6359,0.6856,0.374,310,139,493,216,0.6952,0.5418,0.8228,0.7179,0.6833,0.6176,0.6821,0.3723,285,112,520,241,0.7222,0.7782,0.5027,0.5849,0.7934,0.851,0.1918,0.2193,540.7
Combined,PostIndex,Women,XGBoost,574,4632,1158,0.4542,0.7701,0.7761,0.0174,0.7217,1.0,0.5161,0.2159,0.394,0.2579,0.715,0.6179,0.7959,0.7159,0.7145,0.6633,0.7081,0.4186,325,129,503,201,0.7159,0.616,0.7991,0.7184,0.7143,0.6633,0.7088,0.42,324,127,505,202,0.7418,0.7981,0.5736,0.6569,0.7701,0.8306,0.1962,0.2347,288.4
Combined,PostIndex,Women,Gradient boosting,574,4632,1158,0.4542,0.7953,0.8061,0.0205,0.741,0.8456,0.4715,0.1805,1.0569,-0.0103,0.7288,0.6198,0.8196,0.7409,0.7214,0.6749,0.7212,0.4455,326,114,518,200,0.7263,0.6331,0.8038,0.7287,0.7247,0.6775,0.7199,0.4417,333,124,508,193,0.7697,0.8219,0.5935,0.6742,0.7715,0.8331,0.1681,0.192,110.1
Combined,PostIndex,Women,Histogram gradient boosting,574,4632,1158,0.4542,0.7988,0.7982,0.0183,0.7372,0.9528,0.5,0.1788,0.9569,-0.0076,0.7288,0.6141,0.8244,0.7442,0.7196,0.6729,0.7207,0.445,323,111,521,203,0.7288,0.6141,0.8244,0.7442,0.7196,0.6729,0.7207,0.445,323,111,521,203,0.7723,0.825,0.5753,0.6556,0.7942,0.8532,0.1664,0.1911,64.3
Combined,PostIndex,Women,Bagging,574,4632,1158,0.4542,0.7731,0.7815,0.0168,0.735,0.8874,0.5053,0.1908,1.3057,-0.0005,0.7254,0.6198,0.8133,0.7342,0.7199,0.6722,0.718,0.4388,326,118,514,200,0.728,0.616,0.8212,0.7414,0.7198,0.6729,0.72,0.4435,324,113,519,202,0.7471,0.8002,0.5738,0.6584,0.7907,0.85,0.1813,0.1999,834.2
Combined,PostIndex,Women,SGD classifier,574,4632,1158,0.4542,0.7737,0.7594,0.0196,0.7049,0.842,0.5123,0.1915,0.6807,-0.004,0.7133,0.616,0.7943,0.7137,0.7131,0.6612,0.7064,0.415,324,130,502,202,0.715,0.6103,0.8022,0.7197,0.7121,0.6605,0.7075,0.4178,321,125,507,205,0.7466,0.8003,0.5693,0.6524,0.7703,0.831,0.1781,0.2047,37.4
Combined,PostIndex,Women,K-nearest neighbors,574,4632,1158,0.4542,0.5869,0.5774,0.0068,0.5369,1.0,0.4173,0.2561,0.1873,0.2555,0.5691,0.3365,0.7627,0.5413,0.58,0.415,0.537,0.1024,177,150,482,349,0.5648,0.5513,0.5759,0.5197,0.6067,0.5351,0.563,0.1266,290,268,364,236,0.5537,0.6189,0.5047,0.5949,0.5392,0.6171,0.2455,0.2667,39.9
Combined,PostIndex,Men,Penalised logistic regression,574,4207,1052,0.4363,0.7932,0.8004,0.01,0.7387,0.8296,0.4068,0.1822,0.8922,-0.0019,0.7357,0.5752,0.86,0.7608,0.7234,0.6551,0.7205,0.4475,264,83,510,195,0.7338,0.6732,0.7808,0.7039,0.7553,0.6882,0.728,0.4562,309,130,463,150,0.7641,0.8202,0.6296,0.7114,0.7466,0.8119,0.1693,0.1963,990.1
